Brand,Product Name,Product Type,Clothing Material,Type of Button,Type of Fit,Thread Count,Fabric,Collar,Sleeves,Overall Print
Nike,Sporty Tee,Polo,Linen,Double Button,Loose Fit,220,Interlock,Crew Neck,Half Sleeve,Plain
Levi’s,Classic Tee,Polo,Blend,Double Button,Slim Fit,150,Interlock,Collared,Cap Sleeve,Logo Print
Adidas,Vintage Tee,Round Neck,Blend,Double Button,Regular Fit,250,Interlock,Crew Neck,Cap Sleeve,Striped
Levi’s,Graphic Tee,Henley,Linen,No Button,Regular Fit,150,Slub,Crew Neck,Sleeveless,Abstract
Adidas,Vintage Tee,Tank Top,Polyester,Double Button,Slim Fit,220,Interlock,Crew Neck,Half Sleeve,Striped
H&M,Sporty Tee,V-Neck,Polyester,Snap Button,Regular Fit,250,Single Jersey,V-Neck,Half Sleeve,Tie-Dye
H&M,Sporty Tee,Tank Top,Blend,Double Button,Loose Fit,180,Single Jersey,Collared,Sleeveless,Graphic
Uniqlo,Casual Tee,V-Neck,Linen,Single Button,Oversized Fit,220,Ribbed,V-Neck,Cap Sleeve,Graphic
Levi’s,Casual Tee,Round Neck,Rayon,Single Button,Oversized Fit,220,Slub,Crew Neck,Cap Sleeve,Graphic
Uniqlo,Casual Tee,V-Neck,Cotton,Snap Button,Oversized Fit,200,Single Jersey,Crew Neck,Cap Sleeve,Graphic
Zara,Classic Tee,Round Neck,Rayon,No Button,Loose Fit,200,Single Jersey,Crew Neck,Half Sleeve,Plain
Nike,Urban Tee,V-Neck,Cotton,Single Button,Slim Fit,200,Slub,V-Neck,Full Sleeve,Plain
H&M,Urban Tee,V-Neck,Linen,Double Button,Slim Fit,150,Interlock,V-Neck,Half Sleeve,Graphic
Nike,Sporty Tee,Tank Top,Blend,Single Button,Oversized Fit,150,Interlock,Crew Neck,Sleeveless,Logo Print
H&M,Classic Tee,V-Neck,Cotton,Double Button,Regular Fit,220,Ribbed,Crew Neck,Cap Sleeve,Logo Print
Nike,Graphic Tee,Round Neck,Rayon,Snap Button,Slim Fit,200,Pique,Mandarin,Half Sleeve,Logo Print
Adidas,Classic Tee,Tank Top,Cotton,Single Button,Oversized Fit,180,Ribbed,Collared,Cap Sleeve,Abstract
Nike,Graphic Tee,Tank Top,Polyester,Single Button,Loose Fit,150,Ribbed,Crew Neck,Sleeveless,Abstract
Adidas,Graphic Tee,Henley,Linen,Double Button,Regular Fit,200,Slub,V-Neck,Full Sleeve,Abstract
H&M,Vintage Tee,Round Neck,Cotton,Single Button,Oversized Fit,220,Slub,Mandarin,Full Sleeve,Striped
Uniqlo,Urban Tee,Round Neck,Rayon,Double Button,Oversized Fit,200,Slub,Collared,Full Sleeve,Tie-Dye
H&M,Graphic Tee,Henley,Linen,Snap Button,Oversized Fit,250,Single Jersey,Crew Neck,Full Sleeve,Logo Print
Uniqlo,Urban Tee,Polo,Rayon,Single Button,Oversized Fit,180,Pique,Mandarin,Sleeveless,Plain
Uniqlo,Sporty Tee,V-Neck,Cotton,Single Button,Loose Fit,250,Interlock,Crew Neck,Sleeveless,Logo Print
Levi’s,Vintage Tee,Polo,Blend,Double Button,Regular Fit,250,Interlock,Crew Neck,Full Sleeve,Plain
Nike,Sporty Tee,Round Neck,Blend,No Button,Loose Fit,200,Single Jersey,Crew Neck,Cap Sleeve,Abstract
Uniqlo,Sporty Tee,Tank Top,Cotton,Snap Button,Regular Fit,250,Interlock,Collared,Half Sleeve,Tie-Dye
Zara,Classic Tee,V-Neck,Polyester,Double Button,Loose Fit,150,Single Jersey,Collared,Half Sleeve,Abstract
Uniqlo,Graphic Tee,V-Neck,Polyester,Snap Button,Slim Fit,200,Single Jersey,Crew Neck,Cap Sleeve,Tie-Dye
Adidas,Sporty Tee,Tank Top,Rayon,Single Button,Slim Fit,150,Ribbed,Collared,Half Sleeve,Plain
